# t_seconds latch value
1.720448727 A 0F
1.720457455 B 0F
1.736835273 A 0F
1.736844000 B 0F
1.753221091 A 0F
1.753229818 B 0F
1.769605818 A 0F
1.769614545 B 0F
1.785989455 A 0F
1.785998182 B 0F
1.802372000 A 0F
1.802380727 B 0F
1.818756000 A 0F
1.818764727 B 0F
1.835138909 A 0F
1.835147636 B 0F
1.851520727 A 0F
1.851529455 B 0F
1.867910182 A 0F
1.867918909 B 0F
1.884292727 A 0F
1.884301455 B 0F
1.900674182 A 0F
1.900682909 B 0F
1.917063273 A 0F
1.917072000 B 0F
1.933442545 A 0F
1.933451273 B 0F
1.949829455 A 0F
1.949838182 B 0F
1.966232727 A 0F
1.966241455 B 0F
2.015366545 A 0F
2.015375273 B 0F
2.064517818 A 0F
2.064526545 B 0F
2.113669091 A 0F
2.113677818 B 0F
2.162820364 A 0F
2.162829091 B 0F
2.211971636 A 0F
2.211980364 B 0F
2.261122909 A 0F
2.261131636 B 0F
2.310276727 A 0F
2.310285455 B 0F
2.359428000 A 0F
2.359436727 B 0F
2.408579273 A 0F
2.408588000 B 0F
2.457733091 A 0F
2.457741818 B 0F
2.506884364 A 0F
2.506893091 B 0F
2.556035636 A 0F
2.556044364 B 0F
2.605186909 A 0F
2.605195636 B 0F
2.654340727 A 0F
2.654349455 B 0F
2.703492000 A 0F
2.703500727 B 0F
2.752643273 A 0F
2.752652000 B 0F
2.801797091 A 0F
2.801805818 B 0F
2.850948364 A 0F
2.850957091 B 0F
2.900099636 A 0F
2.900108364 B 0F
2.949250909 A 0F
2.949259636 B 0F
2.998404727 A 0F
2.998413455 B 0F
3.047556000 A 0F
3.047564727 B 0F
3.096707273 A 0F
3.096716000 B 0F
3.145861091 A 0F
3.145869818 B 0F
3.195012364 A 0F
3.195021091 B 0F
3.244163636 A 0F
3.244172364 B 0F
3.309666545 C 01
3.342437818 C 00
3.359083636 A 0F
3.359092364 B 0F
3.382539636 A 0F
3.382548364 B 0F
3.392064364 A 0F
3.392073091 B 0F
3.408445455 A 0F
3.408454182 B 0F
3.424826545 A 0F
3.424835273 B 0F
3.441210182 A 0F
3.441218909 B 0F
3.457593818 A 0F
3.457602545 B 0F
3.473977455 A 0F
3.473986182 B 0F
3.490361091 A 0F
3.490369818 B 0F
3.507604000 A 0F
3.507612727 B 0F
3.523990182 A 0F
3.523998909 B 0F
3.540373818 A 0F
3.540382545 B 0F
3.556760000 A 0F
3.556768727 B 0F
3.573143636 A 0F
3.573152364 B 0F
3.589527273 A 0F
3.589536000 B 0F
3.605910909 A 0F
3.605919636 B 0F
3.622294545 A 0F
3.622303273 B 0F
3.637818909 A 0F
3.637827636 B 0F
3.654202545 A 0F
3.654211273 B 0F
3.670586182 A 0F
3.670594909 B 0F
3.686969818 A 0F
3.686978545 B 0F
3.703353455 A 0F
3.703362182 B 0F
3.719737091 A 0F
3.719745818 B 0F
3.736120727 A 0F
3.736129455 B 0F
3.752504364 A 0F
3.752513091 B 0F
3.769756000 A 0F
3.769764727 B 0F
3.786139636 A 0F
3.786148364 B 0F
3.802523273 A 0F
3.802532000 B 0F
3.818906909 A 0F
3.818915636 B 0F
3.835290545 A 0F
3.835299273 B 0F
3.851674182 A 0F
3.851682909 B 0F
3.868057818 A 0F
3.868066545 B 0F
3.884441455 A 0F
3.884450182 B 0F
3.899965818 A 0F
3.899974545 B 0F
3.916346909 A 0F
3.916355636 B 0F
3.932730545 A 0F
3.932739273 B 0F
3.949114182 A 0F
3.949122909 B 0F
3.965497818 A 0F
3.965506545 B 0F
3.981881455 A 0F
3.981890182 B 0F
3.998265091 A 0F
3.998273818 B 0F
4.014648727 A 0F
4.014657455 B 0F
4.031891636 A 0F
4.031900364 B 0F
4.048277818 A 0F
4.048286545 B 0F
4.064664000 A 0F
4.064672727 B 0F
4.081047636 A 0F
4.081056364 B 0F
4.097431273 A 0F
4.097440000 B 0F
4.113814909 A 0F
4.113823636 B 0F
4.130198545 A 0F
4.130207273 B 0F
4.146582182 A 0F
4.146590909 B 0F
4.162106545 A 0F
4.162115273 B 0F
4.178490182 A 0F
4.178498909 B 0F
4.194873818 A 0F
4.194882545 B 0F
4.211257455 A 0F
4.211266182 B 0F
4.227641091 A 0F
4.227649818 B 0F
4.244024727 A 0F
4.244033455 B 0F
4.260408364 A 0F
4.260417091 B 0F
4.276800727 A 0F
4.276809455 B 0F
4.294041091 A 0F
4.294049818 B 0F
4.310424727 A 0F
4.310433455 B 0F
4.326808364 A 0F
4.326817091 B 0F
4.343192000 A 0F
4.343200727 B 0F
4.359575636 A 0F
4.359584364 B 0F
4.375959273 A 0F
4.375968000 B 0F
4.392342909 A 0F
4.392351636 B 0F
4.408726545 A 0F
4.408735273 B 0F
4.424250909 A 0F
4.424259636 B 0F
4.440634545 A 0F
4.440643273 B 0F
4.457018182 A 0F
4.457026909 B 0F
4.473401818 A 0F
4.473410545 B 0F
4.489785455 A 0F
4.489794182 B 0F
4.506169091 A 0F
4.506177818 B 0F
4.522552727 A 0F
4.522561455 B 0F
4.538936364 A 0F
4.538945091 B 0F
4.556188000 A 0F
4.556196727 B 0F
4.572571636 A 0F
4.572580364 B 0F
4.588955273 A 0F
4.588964000 B 0F
4.605338909 A 0F
4.605347636 B 0F
4.621722545 A 0F
4.621731273 B 0F
4.638106182 A 0F
4.638114909 B 0F
4.654489818 A 0F
4.654498545 B 0F
4.670873455 A 0F
4.670882182 B 0F
4.686397818 A 0F
4.686406545 B 0F
4.702778909 A 0F
4.702787636 B 0F
4.719162545 A 0F
4.719171273 B 0F
4.735546182 A 0F
4.735554909 B 0F
4.751929818 A 0F
4.751938545 B 0F
4.768313455 A 0F
4.768322182 B 0F
4.784697091 A 0F
4.784705818 B 0F
4.801080727 A 0F
4.801089455 B 0F
4.818323636 A 0F
4.818332364 B 0F
4.834709818 A 0F
4.834718545 B 0F
4.851096000 A 0F
4.851104727 B 0F
4.867479636 A 0F
4.867488364 B 0F
4.883863273 A 0F
4.883872000 B 0F
4.900246909 A 0F
4.900255636 B 0F
4.916630545 A 0F
4.916639273 B 0F
4.933014182 A 0F
4.933022909 B 0F
4.948538545 A 0F
4.948547273 B 0F
4.964922182 A 0F
4.964930909 B 0F
4.981305818 A 0F
4.981314545 B 0F
4.997689455 A 0F
4.997698182 B 0F
5.014073091 A 0F
5.014081818 B 0F
5.030456727 A 0F
5.030465455 B 0F
5.046840364 A 0F
5.046849091 B 0F
5.063232727 A 0F
5.063241455 B 0F
5.080473091 A 0F
5.080481818 B 0F
5.096856727 A 0F
5.096865455 B 0F
5.113240364 A 0F
5.113249091 B 0F
5.129624000 A 0F
5.129632727 B 0F
5.146007636 A 0F
5.146016364 B 0F
5.162391273 A 0F
5.162400000 B 0F
5.178774909 A 0F
5.178783636 B 0F
5.195158545 A 0F
5.195167273 B 0F
5.210682909 A 0F
5.210691636 B 0F
5.227066545 A 0F
5.227075273 B 0F
5.243450182 A 0F
5.243458909 B 0F
5.259833818 A 0F
5.259842545 B 0F
5.276217455 A 0F
5.276226182 B 0F
5.292601091 A 0F
5.292609818 B 0F
5.308984727 A 0F
5.308993455 B 0F
5.325368364 A 0F
5.325377091 B 0F
5.342620000 A 0F
5.342628727 B 0F
5.359003636 A 0F
5.359012364 B 0F
5.375387273 A 0F
5.375396000 B 0F
5.391770909 A 0F
5.391779636 B 0F
5.408154545 A 0F
5.408163273 B 0F
5.424538182 A 0F
5.424546909 B 0F
5.440921818 A 0F
5.440930545 B 0F
5.456229818 A 0F
5.456238545 B 0F
5.475790909 A 0F
5.475799636 B 0F
5.490098909 C 00
5.490310545 A 0F
5.490319273 B 0F
5.506417455 C 00
5.506629091 A 0F
5.506637818 B 0F
5.522750545 C 00
5.522962182 A 0F
5.522970909 B 0F
5.539084364 C 00
5.539296000 A 0F
5.539304727 B 0F
5.555412727 C 00
5.555624364 A 0F
5.555633091 B 0F
5.571904727 C 00
5.572116364 A 0F
5.572125091 B 0F
5.588336000 C 00
5.588547636 A 0F
5.588556364 B 0F
5.604619636 C 00
5.604831273 A 0F
5.604840000 B 0F
5.621034909 C 00
5.621246545 A 0F
5.621255273 B 0F
5.637143636 C 00
5.637355273 A 0F
5.637364000 B 0F
5.653535273 C 00
5.653746909 A 0F
5.653755636 B 0F
5.670517818 C 00
5.670729455 A 0F
5.670738182 B 0F
5.686240364 C 00
5.686452000 A 0F
5.686460727 B 0F
5.702628000 C 00
5.702839636 A 0F
5.702848364 B 0F
5.719006909 C 00
5.719218545 A 0F
5.719227273 B 0F
5.735394545 C 00
5.735606182 A 0F
5.735614909 B 0F
5.751945091 C 00
5.752156727 A 0F
5.752165455 B 0F
5.768353091 C 00
5.768564727 A 0F
5.768573455 B 0F
5.784765091 C 00
5.784976727 A 0F
5.784985455 B 0F
5.801172364 C 00
5.801384000 A 0F
5.801392727 B 0F
5.817531636 C 00
5.817743273 A 0F
5.817752000 B 0F
5.833965455 C 00
5.834177091 A 0F
5.834185818 B 0F
5.850351636 C 00
5.850563273 A 0F
5.850572000 B 0F
5.866737818 C 00
5.866949455 A 0F
5.866958182 B 0F
5.883092364 C 00
5.883304000 A 0F
5.883312727 B 0F
5.899561455 C 00
5.899773091 A 0F
5.899781818 B 0F
5.915948000 C 00
5.916159636 A 0F
5.916168364 B 0F
5.932299273 C 00
5.932510909 A 0F
5.932519636 B 0F
5.948631273 C 00
5.948842909 A 0F
5.948851636 B 0F
5.964770909 C 00
5.964982545 A 0F
5.964991273 B 0F
5.981149818 C 00
5.981361455 A 0F
5.981370182 B 0F
5.998552364 C 00
5.998764000 A 0F
5.998772727 B 0F
6.016462545 A 0F
6.016471273 B 0F
6.032739636 C 00
6.032951273 A 0F
6.032960000 B 0F
6.048244727 C 00
6.048456364 A 0F
6.048465091 B 0F
6.065347273 C 00
6.065558909 A 0F
6.065567636 B 0F
6.081061818 C 00
6.081273455 A 0F
6.081282182 B 0F
6.098149091 C 00
6.098360727 A 0F
6.098369455 B 0F
6.113816727 C 00
6.114028364 A 0F
6.114037091 B 0F
6.130885091 C 00
6.131096727 A 0F
6.131105455 B 0F
6.146599636 C 00
6.146811273 A 0F
6.146820000 B 0F
6.163698909 C 00
6.163910545 A 0F
6.163919273 B 0F
6.179357818 C 00
6.179569455 A 0F
6.179578182 B 0F
6.196426182 C 00
6.196637818 A 0F
6.196646545 B 0F
6.212132000 C 00
6.212343636 A 0F
6.212352364 B 0F
6.229219273 C 00
6.229430909 A 0F
6.229439636 B 0F
6.244886909 C 00
6.245098545 A 0F
6.245107273 B 0F
6.261955273 C 00
6.262166909 A 0F
6.262175636 B 0F
6.277669818 C 00
6.277881455 A 0F
6.277890182 B 0F
6.294777818 C 00
6.294989455 A 0F
6.294998182 B 0F
6.310428000 C 00
6.310639636 A 0F
6.310648364 B 0F
6.327496364 C 00
6.327708000 A 0F
6.327716727 B 0F
6.343202182 C 00
6.343413818 A 0F
6.343422545 B 0F
6.360289455 C 00
6.360501091 A 0F
6.360509818 B 0F
6.375965818 C 00
6.376177455 A 0F
6.376186182 B 0F
6.393034182 C 00
6.393245818 A 0F
6.393254545 B 0F
6.408718909 C 00
6.408930545 A 0F
6.408939273 B 0F
6.425885091 C 00
6.426096727 A 0F
6.426105455 B 0F
6.441457091 C 00
6.441668727 A 0F
6.441677455 B 0F
6.458568364 C 00
6.458780000 A 0F
6.458788727 B 0F
6.474274182 C 00
6.474485818 A 0F
6.474494545 B 0F
6.491364364 C 00
6.491576000 A 0F
6.491584727 B 0F
6.507032000 C 00
6.507243636 A 0F
6.507252364 B 0F
6.524103273 C 00
6.524314909 A 0F
6.524323636 B 0F
6.539817818 C 00
6.540029455 A 0F
6.540038182 B 0F
6.556942909 C 00
6.557154545 A 0F
6.557163273 B 0F
6.572566909 C 00
6.572778545 A 0F
6.572787273 B 0F
6.589843636 C 00
6.590055273 A 0F
6.590064000 B 0F
6.605348727 C 00
6.605560364 A 0F
6.605569091 B 0F
6.622622545 C 00
6.622834182 A 0F
6.622842909 B 0F
6.638109455 C 00
6.638321091 A 0F
6.638329818 B 1F
6.655280364 C 00
6.655492000 A 0F
6.655500727 B 1F
6.671089455 C 00
6.671301091 A 0F
6.671309818 B 10
6.688113091 C 00
6.688324727 A 0F
6.688333455 B 11
6.703857818 C 00
6.704069455 A 0F
6.704078182 B 12
6.720896364 C 00
6.721108000 A 0F
6.721116727 B 13
6.736626909 C 00
6.736838545 A 0F
6.736847273 B 14
6.753687273 C 00
6.753898909 A 0F
6.753907636 B 15
6.769382545 C 00
6.769594182 A 0F
6.769602909 B 16
6.786421091 C 00
6.786632727 A 0F
6.786641455 B 17
6.802133455 C 00
6.802345091 A 0F
6.802353818 B 18
6.819287636 C 00
6.819499273 A 0F
6.819508000 B 19
6.834878545 C 00
6.835090182 A 0F
6.835098909 B 1A
6.851960000 C 00
6.852171636 A 0F
6.852180364 B 1B
6.867693455 C 00
6.867905091 A 0F
6.867913818 B 1C
6.884750909 C 00
6.884962545 A 0F
6.884971273 B 1D
6.900460727 C 00
6.900672364 A 0F
6.900681091 B 1E
6.917494545 C 00
6.917706182 A 0F
6.917714909 B 2F
6.933229091 C 00
6.933440727 A 0F
6.933449455 B 2F
6.950323273 C 00
6.950534909 A 0F
6.950543636 B 2F
6.965993455 C 00
6.966205091 A 0F
6.966213818 B 2F
6.983038909 C 00
6.983250545 A 0F
6.983259273 B 2F
6.998764727 C 00
6.998976364 A 0F
6.998985091 B 2F
7.015829091 C 00
7.016040727 A 0F
7.016049455 B 2F
7.031525455 C 00
7.031737091 A 0F
7.031745818 B 2F
7.048570909 C 00
7.048782545 A 0F
7.048791273 B 2F
7.064296727 C 00
7.064508364 A 0F
7.064517091 B 2F
7.081422545 C 00
7.081634182 A 0F
7.081642909 B 2F
7.097066545 C 00
7.097278182 A 0F
7.097286909 B 2F
7.114317818 C 00
7.114529455 A 0F
7.114538182 B 2F
7.129834182 C 00
7.130045818 A 0F
7.130054545 B 2F
7.146919273 C 00
7.147130909 A 0F
7.147139636 B 2F
7.162605455 C 00
7.162817091 A 0F
7.162825818 B 1F
7.179769091 C 00
7.179980727 A 0F
7.179989455 B 1F
7.195549818 C 00
7.195761455 A 0F
7.195770182 B 10
7.212607636 C 00
7.212819273 A 0F
7.212828000 B 11
7.228301818 C 00
7.228513455 A 0F
7.228522182 B 12
7.245359636 C 00
7.245571273 A 0F
7.245580000 B 13
7.261109091 C 00
7.261320727 A 0F
7.261329455 B 14
7.278151273 C 00
7.278362909 A 0F
7.278371636 B 15
7.293880000 C 00
7.294091636 A 0F
7.294100364 B 16
7.310885818 C 00
7.311097455 A 0F
7.311106182 B 17
7.326644000 C 00
7.326855636 A 0F
7.326864364 B 18
7.343716000 C 00
7.343927636 A 0F
7.343936364 B 19
7.359418545 C 00
7.359630182 A 0F
7.359638909 B 1A
7.376414909 C 00
7.376626545 A 0F
7.376635273 B 1B
7.392163273 C 00
7.392374909 A 0F
7.392383636 B 1C
7.409204364 C 00
7.409416000 A 0F
7.409424727 B 1D
7.424943636 C 00
7.425155273 A 0F
7.425164000 B 1E
7.441944000 C 00
7.442155636 A 0F
7.442164364 B 2F
7.457693818 C 00
7.457905455 A 0F
7.457914182 B 2F
7.474772000 C 00
7.474983636 A 0F
7.474992364 B 2F
7.490474909 C 00
7.490686545 A 0F
7.490695273 B 2F
7.507496000 C 00
7.507707636 A 0F
7.507716364 B 2F
7.523237091 C 00
7.523448727 A 0F
7.523457455 B 2F
7.540276727 C 00
7.540488364 A 0F
7.540497091 B 2F
7.556011636 C 00
7.556223273 A 0F
7.556232000 B 2F
7.573023636 C 00
7.573235273 A 0F
7.573244000 B 2F
7.588752364 C 00
7.588964000 A 0F
7.588972727 B 2F
7.605911636 C 00
7.606123273 A 0F
7.606132000 B 2F
7.621501455 C 00
7.621713091 A 0F
7.621721818 B 2F
7.638771636 C 00
7.638983273 A 0F
7.638992000 B 2F
7.654303273 C 00
7.654514909 A 0F
7.654523636 B 2F
7.671363636 C 00
7.671575273 A 0F
7.671584000 B 2F
7.687088000 C 00
7.687299636 A 0F
7.687308364 B 1F
7.704249091 C 00
7.704460727 A 0F
7.704469455 B 1F
7.720039636 C 00
7.720251273 A 0F
7.720260000 B 10
7.737014182 C 00
7.737225818 A 0F
7.737234545 B 11
7.752810182 C 00
7.753021818 A 0F
7.753030545 B 12
7.769817455 C 00
7.770029091 A 0F
7.770037818 B 13
7.785573091 C 00
7.785784727 A 0F
7.785793455 B 14
7.802599273 C 00
7.802810909 A 0F
7.802819636 B 15
7.818357455 C 00
7.818569091 A 0F
7.818577818 B 16
7.835346909 C 00
7.835558545 A 0F
7.835567273 B 17
7.851111273 C 00
7.851322909 A 0F
7.851331636 B 18
7.868175636 C 00
7.868387273 A 0F
7.868396000 B 19
7.883901818 C 00
7.884113455 A 0F
7.884122182 B 1A
7.900909091 C 00
7.901120727 A 0F
7.901129455 B 1B
7.916664727 C 00
7.916876364 A 0F
7.916885091 B 1C
7.933690909 C 00
7.933902545 A 0F
7.933911273 B 1D
7.949454909 C 00
7.949666545 A 0F
7.949675273 B 1E
7.966431636 C 00
7.966643273 A 0F
7.966652000 B 2F
7.982185455 C 00
7.982397091 A 0F
7.982405818 B 2F
7.999298182 C 00
7.999509818 A 0F
7.999518545 B 2F
8.014930545 C 00
8.015142182 A 0F
8.015150909 B 2F
8.031979636 C 00
8.032191273 A 0F
8.032200000 B 2F
8.047737091 C 00
8.047948727 A 0F
8.047957455 B 2F
8.064770909 C 00
8.064982545 A 0F
8.064991273 B 2F
8.080519273 C 00
8.080730909 A 0F
8.080739636 B 2F
8.097507636 C 00
8.097719273 A 0F
8.097728000 B 2F
8.113273818 C 00
8.113485455 A 0F
8.113494182 B 2F
8.130351273 C 00
8.130562909 A 0F
8.130571636 B 2F
8.146044364 C 00
8.146256000 A 0F
8.146264727 B 2F
8.163265818 C 00
8.163477455 A 0F
8.163486182 B 2F
8.178813818 C 00
8.179025455 A 0F
8.179034182 B 2F
8.195850909 C 00
8.196062545 A 0F
8.196071273 B 2F
8.211597091 C 00
8.211808727 A 0F
8.211817455 B 1F
8.228786182 C 00
8.228997818 A 0F
8.229006545 B 1F
8.244549091 C 00
8.244760727 A 0F
8.244769455 B 10
8.261505455 C 00
8.261717091 A 0F
8.261725818 B 11
8.277317455 C 00
8.277529091 A 0F
8.277537818 B 12
8.294315273 C 00
8.294526909 A 0F
8.294535636 B 13
8.310078182 C 00
8.310289818 A 0F
8.310298545 B 14
8.327094909 C 00
8.327306545 A 0F
8.327315273 B 15
8.342866182 C 00
8.343077818 A 0F
8.343086545 B 16
8.359843636 C 00
8.360055273 A 0F
8.360064000 B 17
8.375594182 C 00
8.375805818 A 0F
8.375814545 B 18
8.392684000 C 00
8.392895636 A 0F
8.392904364 B 19
8.408348000 C 00
8.408559636 A 0F
8.408568364 B 1A
8.425382909 C 00
8.425594545 A 0F
8.425603273 B 1B
8.441154545 C 00
8.441366182 A 0F
8.441374909 B 1C
8.458156727 C 00
8.458368364 A 0F
8.458377091 B 1D
8.473942545 C 00
8.474154182 A 0F
8.474162909 B 1E
8.490925091 C 00
8.491136727 A 0F
8.491145455 B 2F
8.506693091 C 00
8.506904727 A 0F
8.506913455 B 2F
8.523732727 C 00
8.523944364 A 0F
8.523953091 B 2F
8.539465455 C 00
8.539677091 A 0F
8.539685818 B 2F
8.556465455 C 00
8.556677091 A 0F
8.556685818 B 2F
8.572227636 C 00
8.572439273 A 0F
8.572448000 B 2F
8.589246545 C 00
8.589458182 A 0F
8.589466909 B 2F
8.605022909 C 00
8.605234545 A 0F
8.605243273 B 2F
8.622005455 C 00
8.622217091 A 0F
8.622225818 B 2F
8.637764727 C 00
8.637976364 A 0F
8.637985091 B 2F
8.654807273 C 00
8.655018909 A 0F
8.655027636 B 2F
8.670534182 C 00
8.670745818 A 0F
8.670754545 B 2F
8.687528364 C 00
8.687740000 A 0F
8.687748727 B 2F
8.703293455 C 00
8.703505091 A 0F
8.703513818 B 2F
8.720306545 C 00
8.720518182 A 0F
8.720526909 B 2F
8.736085818 C 00
8.736297455 A 0F
8.736306182 B 2F
8.753068364 C 00
8.753280000 A 0F
8.753288727 B 2F
8.768812364 C 00
8.769024000 A 0F
8.769032727 B 2F
8.786077091 C 00
8.786288727 A 0F
8.786297455 B 2F
8.801568727 C 00
8.801780364 A 0F
8.801789091 B 2F
8.818748727 C 00
8.818960364 A 0F
8.818969091 B 2F
8.834365455 C 00
8.834577091 A 0F
8.834585818 B 2F
8.851521455 C 00
8.851733091 A 0F
8.851741818 B 2F
8.867161091 C 00
8.867372727 A 0F
8.867381455 B 2F
8.884277818 C 00
8.884489455 A 0F
8.884498182 B 2F
8.899903273 C 00
8.900114909 A 0F
8.900123636 B 2F
8.917268000 C 00
8.917479636 A 0F
8.917488364 B 2F
8.932680727 C 00
8.932892364 A 0F
8.932901091 B 2F
8.949957818 C 00
8.950169455 A 0F
8.950178182 B 2F
8.965443636 C 00
8.965655273 A 0F
8.965664000 B 2F
8.982739636 C 00
8.982951273 A 0F
8.982960000 B 2F
8.998230909 C 00
8.998442545 A 0F
8.998451273 B 2F
9.015490545 C 00
9.015702182 A 0F
9.015710909 B 2F
9.031290182 C 00
9.031501818 A 0F
9.031510545 B 2F
9.048219636 C 00
9.048431273 A 04
9.048440000 B 2F
9.063722182 C 00
9.063933818 A 02
9.063942545 B 2F
9.081068364 C 00
9.081280000 A 00
9.081288727 B 2F
9.096530182 C 00
9.096741818 A 07
9.096750545 B 2F
9.113777455 C 00
9.113989091 A 05
9.113997818 B 2F
9.129314545 C 00
9.129526182 A 03
9.129534909 B 2F
9.146534182 C 00
9.146745818 A 01
9.146754545 B 2F
9.162065818 C 00
9.162277455 A 08
9.162286182 B 2F
9.179451636 C 00
9.179663273 A 06
9.179672000 B 2F
9.194872727 C 00
9.195084364 A 04
9.195093091 B 2C
9.212150909 C 00
9.212362545 A 02
9.212371273 B 2C
9.227645091 C 00
9.227856727 A 09
9.227865455 B 28
9.244967273 C 00
9.245178909 A 07
9.245187636 B 28
9.260385455 C 00
9.260597091 A 05
9.260605818 B 2C
9.277613091 C 00
9.277824727 A 03
9.277833455 B 2C
9.293149818 C 00
9.293361455 A 0A
9.293370182 B 28
9.310573091 C 00
9.310784727 A 08
9.310793455 B 28
9.325909818 C 00
9.326121455 A 06
9.326130182 B 2C
9.343249091 C 00
9.343460727 A 04
9.343469455 B 2C
9.358658909 C 00
9.358870545 A 0B
9.358879273 B 28
9.376154909 C 00
9.376366545 A 09
9.376375273 B 28
9.391398545 C 00
9.391610182 A 07
9.391618909 B 2C
9.408702909 C 00
9.408914545 A 05
9.408923273 B 2C
9.424138182 C 00
9.424349818 A 0C
9.424358545 B 28
9.441646545 C 00
9.441858182 A 0A
9.441866909 B 28
9.456881818 C 00
9.457093455 A 08
9.457102182 B 2C
9.474276364 C 00
9.474488000 A 06
9.474496727 B 2C
9.489689091 C 00
9.489900727 A 0D
9.489909455 B 28
9.507249818 C 00
9.507461455 A 0B
9.507470182 B 28
9.522470182 C 00
9.522681818 A 09
9.522690545 B 2C
9.539820364 C 00
9.540032000 A 07
9.540040727 B 2C
9.555224364 C 00
9.555436000 A 0F
9.555444727 B 28
9.572732000 C 00
9.572943636 A 0F
9.572952364 B 28
9.587993091 C 00
